ID_Transaccion,Fecha_Hora,ID_Producto,Nombre_Producto,Precio_Unitario,Cantidad,ID_Tienda
3926,2025-09-01 08:50:16,P02,Energia Matutina,11.0,1,T02
10532,2025-09-01 09:03:25,P02,Energia Matutina,11.0,1,T01
7697,2025-09-01 09:16:31,P02,Energia Matutina,11.0,1,T01
10926,2025-09-01 09:17:22,P02,Energia Matutina,11.0,1,T02
5122,2025-09-01 09:37:03,P01,Detox Verde,12.5,1,T02
8240,2025-09-01 09:50:54,P03,Trio de Berries,14.0,1,T02
2460,2025-09-01 10:08:51,P03,Trio de Berries,14.0,1,T02
2517,2025-09-01 10:12:43,P01,Detox Verde,12.5,1,T01
6846,2025-09-01 10:18:03,P03,Trio de Berries,14.0,2,T01
7396,2025-09-01 10:19:26,P01,Detox Verde,12.5,1,T02
2030,2025-09-01 10:21:05,P02,Energia Matutina,11.0,1,T01
9424,2025-09-01 10:23:30,P03,Trio de Berries,14.0,1,T02
4745,2025-09-01 10:29:07,P01,Detox Verde,12.5,3,T01
9284,2025-09-01 10:34:54,P03,Trio de Berries,14.0,1,T02
10576,2025-09-01 10:39:07,P01,Detox Verde,12.5,1,T02
7331,2025-09-01 10:42:05,P02,Energia Matutina,11.0,1,T02
4270,2025-09-01 10:48:21,P02,Energia Matutina,11.0,1,T02
10569,2025-09-01 10:58:19,P03,Trio de Berries,14.0,1,T02
10756,2025-09-01 11:44:10,P03,Trio de Berries,14.0,1,T01
2962,2025-09-01 11:44:18,P02,Energia Matutina,11.0,1,T01
5298,2025-09-01 11:55:47,P03,Trio de Berries,14.0,1,T01
10372,2025-09-01 12:17:55,P01,Detox Verde,12.5,1,T01
2406,2025-09-01 12:36:58,P02,Energia Matutina,11.0,2,T01
5281,2025-09-01 12:37:42,P01,Detox Verde,12.5,1,T01
7989,2025-09-01 12:52:30,P02,Energia Matutina,11.0,1,T01
3894,2025-09-01 12:56:28,P04,Sol Tropical,10.5,1,T02
6577,2025-09-01 12:59:01,P02,Energia Matutina,11.0,1,T01
7292,2025-09-01 13:01:50,P02,Energia Matutina,11.0,1,T02
8207,2025-09-01 13:03:05,P01,Detox Verde,12.5,1,T02
6849,2025-09-01 13:13:55,P02,Energia Matutina,11.0,1,T01
8140,2025-09-01 13:17:49,P02,Energia Matutina,11.0,1,T01
5225,2025-09-01 13:19:06,P03,Trio de Berries,14.0,2,T02
6868,2025-09-01 13:20:24,P04,Sol Tropical,10.5,1,T01
1640,2025-09-01 13:29:32,P03,Trio de Berries,14.0,1,T02
9611,2025-09-01 13:29:45,P04,Sol Tropical,10.5,1,T02
5705,2025-09-01 13:43:39,P02,Energia Matutina,11.0,1,T02
4421,2025-09-01 13:45:45,P04,Sol Tropical,10.5,2,T02
9775,2025-09-01 13:46:11,P01,Detox Verde,12.5,2,T01
8860,2025-09-01 13:54:38,P01,Detox Verde,12.5,1,T01
1171,2025-09-01 13:54:56,P05,Inmune-C Boost,13.0,1,T01
5095,2025-09-01 14:02:58,P02,Energia Matutina,11.0,1,T02
5908,2025-09-01 14:03:02,P01,Detox Verde,12.5,1,T01
6167,2025-09-01 14:03:02,P02,Energia Matutina,11.0,1,T02
7435,2025-09-01 14:30:26,P05,Inmune-C Boost,13.0,1,T02
7036,2025-09-01 14:32:13,P01,Detox Verde,12.5,1,T02
7368,2025-09-01 14:35:01,P01,Detox Verde,12.5,1,T02
3588,2025-09-01 14:45:49,P04,Sol Tropical,10.5,1,T01
2676,2025-09-01 14:47:50,P02,Energia Matutina,11.0,1,T02
1042,2025-09-01 14:51:42,P01,Detox Verde,12.5,1,T01
1146,2025-09-01 15:06:13,P01,Detox Verde,12.5,2,T01
2739,2025-09-01 15:06:34,P03,Trio de Berries,14.0,1,T02
5331,2025-09-01 15:08:03,P03,Trio de Berries,14.0,1,T02
8311,2025-09-01 15:08:04,P04,Sol Tropical,10.5,1,T01
3153,2025-09-01 15:10:14,P04,Sol Tropical,10.5,3,T02
4415,2025-09-01 15:11:08,P01,Detox Verde,12.5,1,T01
1672,2025-09-01 15:18:38,P02,Energia Matutina,11.0,1,T02
10596,2025-09-01 15:20:22,P03,Trio de Berries,14.0,2,T01
7681,2025-09-01 15:21:05,P02,Energia Matutina,11.0,1,T01
1908,2025-09-01 15:32:27,P05,Inmune-C Boost,13.0,1,T01
9362,2025-09-01 15:39:24,P04,Sol Tropical,10.5,1,T01
6292,2025-09-01 16:03:20,P02,Energia Matutina,11.0,1,T01
4723,2025-09-01 16:04:17,P02,Energia Matutina,11.0,1,T02
1839,2025-09-01 16:11:15,P01,Detox Verde,12.5,1,T02
9607,2025-09-01 16:14:37,P02,Energia Matutina,11.0,1,T02
1216,2025-09-01 16:15:24,P02,Energia Matutina,11.0,1,T02
1781,2025-09-01 16:16:16,P02,Energia Matutina,11.0,1,T01
1671,2025-09-01 16:22:34,P01,Detox Verde,12.5,1,T02
5989,2025-09-01 16:23:00,P01,Detox Verde,12.5,1,T01
7800,2025-09-01 16:26:21,P02,Energia Matutina,11.0,1,T01
3543,2025-09-01 16:29:39,P01,Detox Verde,12.5,1,T01
7645,2025-09-01 16:29:39,P03,Trio de Berries,14.0,1,T01
9381,2025-09-01 16:33:54,P02,Energia Matutina,11.0,1,T01
5042,2025-09-01 16:35:06,P03,Trio de Berries,14.0,2,T02
10826,2025-09-01 16:36:42,P04,Sol Tropical,10.5,1,T02
6068,2025-09-01 16:39:28,P02,Energia Matutina,11.0,1,T02
2325,2025-09-01 16:40:00,P02,Energia Matutina,11.0,1,T02
4327,2025-09-01 16:49:48,P04,Sol Tropical,10.5,3,T01
10226,2025-09-01 16:56:47,P02,Energia Matutina,11.0,2,T01
1968,2025-09-01 17:08:32,P05,Inmune-C Boost,13.0,1,T02
2409,2025-09-01 17:11:27,P03,Trio de Berries,14.0,1,T02
5437,2025-09-01 17:21:42,P02,Energia Matutina,11.0,2,T02
5764,2025-09-01 17:23:48,P03,Trio de Berries,14.0,2,T01
2111,2025-09-01 17:24:11,P03,Trio de Berries,14.0,1,T01
3404,2025-09-01 17:24:33,P02,Energia Matutina,11.0,1,T02
2147,2025-09-01 17:32:57,P03,Trio de Berries,14.0,1,T01
5587,2025-09-01 17:39:54,P04,Sol Tropical,10.5,1,T02
10906,2025-09-01 17:42:28,P02,Energia Matutina,11.0,1,T01
1375,2025-09-01 17:57:27,P02,Energia Matutina,11.0,1,T02
6410,2025-09-01 17:59:46,P03,Trio de Berries,14.0,1,T02
3663,2025-09-01 18:00:21,P02,Energia Matutina,11.0,1,T02
8185,2025-09-01 18:06:44,P02,Energia Matutina,11.0,1,T01
8921,2025-09-01 18:13:59,P01,Detox Verde,12.5,1,T01
2110,2025-09-01 18:16:16,P03,Trio de Berries,14.0,1,T02
5984,2025-09-01 18:18:08,P01,Detox Verde,12.5,1,T02
6663,2025-09-01 18:18:09,P02,Energia Matutina,11.0,1,T01
